Year;F_days_LH;F_days_LM;N_1000m_pyear_LH;N_1000m_pyear_LM
1996;26 896;31 133;9 054;12 346
1997;27 792;30 838;4 874;9 456
1998;24 062;25 279;2 815;6 256
1999;25 802;32 566;6 254;8 922
2000;25 372;31 362;5 785;7 055
2001;26 472;32 218;4 170;6 390
2002;31 424;33 838;2 309;5 965
2003;27 485;26 286;3 731;8 050
2004;29 709;27 651;3 781;6 539
2005;28 120;27 306;2 975;4 453
2006;27 973;25 213;4 098;5 168
2007;31 755;27 375;2 957;4 650
2008;30 241;26 878;3 697;7 016
2009;24 107;22 978;3 728;5 456
