Year;age_1_n;age_2_n;age_3_n;age_4_n;age_5_n;age_6_n;age_7_n;age_8_n;N_BREAK
1955;0;0;34;1;0;0;0;0;35
1956;0;1;9;123;1;0;0;0;134
1957;0;0;12;10;50;2;0;1;75
1958;0;0;5;29;12;17;0;0;63
1959;0;2;40;13;10;1;1;0;67
1960;0;0;25;17;0;0;0;2;44
1961;0;0;29;9;0;0;0;0;38
1962;0;0;2;39;2;1;0;0;44
1963;0;1;7;17;74;1;0;1;101
1964;0;2;9;14;23;63;0;0;111
1965;0;0;1;8;21;27;11;1;69
1966;0;1;3;26;17;36;29;8;120
1967;0;1;2;2;19;12;9;6;51
1968;0;7;84;5;8;13;6;10;133
1969;0;7;85;26;3;0;2;0;123
1970;0;3;51;34;5;0;0;3;96
1971;0;0;32;54;6;0;0;0;92
1972;0;2;5;60;19;2;0;0;88
1973;0;0;13;20;43;2;2;2;82
1974;0;0;16;19;20;36;2;0;93
1975;2;69;38;24;5;12;7;2;159
1976;0;9;79;16;3;1;2;2;112
1977;0;2;24;17;1;0;1;1;46
1978;0;0;12;51;10;0;0;2;75
2007;0;0;38;15;32;7;3;4;99
2008;0;0;16;89;10;21;8;1;145
2009;0;0;3;56;18;0;1;0;78
